,feat,imp
473,USAGE_RATE_YEARPURINCM_mean,0
474,USAGE_RATE_HDYF_max,0
475,USAGE_RATE_HDYF_min,0
476,USAGE_RATE_GJJRATE_std,0
477,USAGE_RATE_WITHDRAW_mean,0
478,USAGE_RATE_USAGE_AMOUNT_sum,0
479,USAGE_RATE_DKXE_mean,0
480,WITHDRAW_GRJCJS_max,0
481,WITHDRAW_GRZHSNJZYE_min,0
482,WITHDRAW_GRZHDNGJYE_min,0
483,WITHDRAW_HDZYF_min,0
484,WITHDRAW_DKXE_min,0
485,USAGE_AMOUNT_GRZHYE_std,0
486,USAGE_AMOUNT_GRZHSNJZYE_std,0
487,USAGE_AMOUNT_GRZHSNJZYE_min,0
488,USAGE_AMOUNT_GRZHDNGJYE_sum,0
489,USAGE_AMOUNT_GRZHDNGJYE_mean,0
490,USAGE_AMOUNT_YEARPURINCM_sum,0
491,USAGE_AMOUNT_YEARPURINCM_mean,0
492,USAGE_AMOUNT_YEARPURINCM_min,0
493,USAGE_AMOUNT_HDZYF_std,0
494,USAGE_AMOUNT_WITHDRAW_mean,0
495,USAGE_AMOUNT_DKXE_mean,0
496,USAGE_AMOUNT_DKXE_std,0
497,USAGE_AMOUNT_DKXE_min,0
498,WITHDRAW_SUBMIT_DKXE_max,0
499,DKXE_GRJCJS_sum,0
500,DKXE_GRZHYE_sum,0
501,DKXE_GRZHYE_std,0
502,DKXE_GRZHDNGJYE_sum,0
503,DKXE_GRYJCE_sum,0
504,DKXE_GRYJCE_std,0
505,DKXE_DKFFE_std,0
506,DKXE_DKYE_mean,0
507,DKXE_DKYE_std,0
508,DKXE_DKLL_std,0
509,DKXE_YEARPURINCM_sum,0
510,DKXE_YEARPURINCM_std,0
511,DKXE_YEARPURINCM_max,0
512,DKXE_HDZYF_min,0
513,DKXE_USAGE_RATE_std,0
514,DKXE_TOP_USER_std,0
515,DKXE_USAGE_AMOUNT_mean,0
516,DKXE_USAGE_AMOUNT_max,0
517,numsOf_GRJCJS_GRZHDNGJYE_diff,0
518,numsOf_GRJCJS_GRZHDNGJYE_div,0
519,numsOf_GRJCJS_GRYJCE_div,0
520,numsOf_GRJCJS_DKFFE_multi,0
521,numsOf_GRJCJS_YEARPURINCM_div,0
522,numsOf_GRJCJS_TOP_USER_div,0
523,numsOf_GRJCJS_DKXE_multi,0
524,numsOf_GRZHYE_GRZHSNJZYE_div,0
525,numsOf_GRZHYE_GRZHDNGJYE_diff,0
526,numsOf_GRZHYE_GRZHDNGJYE_div,0
527,numsOf_GRZHYE_DKFFE_add,0
528,numsOf_GRZHYE_YEARPURINCM_diff,0
529,numsOf_GRZHYE_HDZYF_multi,0
530,numsOf_GRZHYE_HDSYYF_multi,0
531,numsOf_GRZHYE_HDYF_multi,0
532,numsOf_GRZHYE_WITHDRAW_div,0
533,numsOf_GRZHYE_USAGE_AMOUNT_add,0
534,numsOf_GRZHYE_DKXE_add,0
535,numsOf_GRZHSNJZYE_GRZHDNGJYE_diff,0
536,numsOf_GRZHSNJZYE_GRZHDNGJYE_div,0
537,numsOf_GRZHSNJZYE_DKFFE_add,0
538,numsOf_GRZHSNJZYE_DKYE_div,0
539,numsOf_GRZHSNJZYE_YEARPURINCM_diff,0
540,numsOf_GRZHSNJZYE_YEARPURINCM_div,0
541,numsOf_GRZHSNJZYE_HDZYF_multi,0
542,numsOf_GRZHSNJZYE_HDSYYF_multi,0
543,numsOf_GRZHSNJZYE_HDYF_multi,0
544,numsOf_GRZHSNJZYE_HDYF_div,0
545,numsOf_GRZHSNJZYE_TOP_USER_div,0
546,numsOf_GRZHSNJZYE_WITHDRAW_add,0
547,numsOf_GRZHSNJZYE_USAGE_AMOUNT_add,0
548,numsOf_GRZHSNJZYE_USAGE_AMOUNT_multi,0
549,numsOf_GRZHSNJZYE_WITHDRAW_SUBMIT_div,0
550,numsOf_GRZHDNGJYE_GRYJCE_div,0
551,numsOf_GRZHDNGJYE_YEARPURINCM_diff,0
552,numsOf_GRZHDNGJYE_YEARPURINCM_multi,0
553,numsOf_GRZHDNGJYE_YEARPURINCM_div,0
554,numsOf_GRZHDNGJYE_HDZYF_multi,0
555,numsOf_GRZHDNGJYE_USAGE_AMOUNT_div,0
556,numsOf_GRYJCE_YEARPURINCM_div,0
557,numsOf_GRYJCE_HDZYF_add,0
558,numsOf_GRYJCE_HDSYYF_add,0
559,numsOf_GRYJCE_DKXE_multi,0
560,numsOf_GRYJCE_DKXE_div,0
561,numsOf_DKFFE_YEARPURINCM_div,0
562,numsOf_DKFFE_WITHDRAW_div,0
563,numsOf_DKFFE_USAGE_AMOUNT_add,0
564,numsOf_DKFFE_DKXE_add,0
565,numsOf_DKFFE_DKXE_diff,0
566,numsOf_DKFFE_DKXE_multi,0
567,numsOf_DKFFE_DKXE_div,0
568,numsOf_DKYE_YEARPURINCM_div,0
569,numsOf_DKYE_USAGE_AMOUNT_multi,0
570,numsOf_DKYE_WITHDRAW_SUBMIT_div,0
571,numsOf_DKYE_DKXE_add,0
572,numsOf_DKYE_DKXE_diff,0
573,numsOf_DKLL_YEARPURINCM_div,0
574,numsOf_DKLL_USAGE_RATE_add,0
575,numsOf_DKLL_USAGE_RATE_diff,0
